trigger,data_policy,training_policy,kl_ref_to_collection_reweighted_mean,kl_ref_to_collection_reweighted_std,kl_ref_to_final_reweighted_mean,kl_ref_to_final_reweighted_std,kl_ref_to_raw_mean,kl_ref_to_raw_std,coverage_xy_mean,coverage_xy_std,retrain_count_mean,retrain_count_std,transition_count_mean,transition_count_std,unique_transition_count_mean,unique_transition_count_std,total_train_seconds_mean,total_train_seconds_std,test_vamp2_mean,test_vamp2_std,final_validation_vamp2_mean,final_validation_vamp2_std,final_epochs_run_mean,final_epochs_run_std
Fixed-T,Window-W,Fixed-50ep,4.4863580805949415,0.026536406465758985,4.487760539388956,0.026034298430755748,4.4990466496679815,0.03265723760743634,0.03984375,0.0008838834764831852,3.0,0.0,0.0,0.0,0.0,0.0,0.04026674349915993,0.005151484325662649,0.9683368123658478,0.003236295051421188,0.9775987885503493,0.0034352841746869128,10.0,0.0
Fixed-T,Reweighted-Window,Fixed-50ep,4.5941608699119145,0.08078002167168476,4.595489139598422,0.08009204124949165,4.6080655999258475,0.08516255177482408,0.033359375,0.0016572815184059723,3.0,0.0,0.0,0.0,0.0,0.0,0.04211736000024757,0.005827257084045241,0.9605922557208602,0.003077976215615783,0.9622233390943113,0.013408875069248807,10.0,0.0
ADWIN,Reweighted-Window,Fixed-50ep,4.995154097703888,0.26754049698233295,4.997589973095299,0.2686911323384474,5.008780176285804,0.26979924101499597,0.029609375,0.0023201941257683587,0.0,0.0,0.0,0.0,0.0,0.0,0.009741496000060579,0.0011119268278216882,0.958459065042643,0.003567784427081173,0.9716876435896706,0.013165841323788684,10.0,0.0
Fixed-T,Reweighted-Window,EarlyStopping,5.033204755751974,1.157890269505826,5.036782864670137,1.1623477180774933,5.053356814200626,1.1653272008285316,0.037343749999999995,0.015467960838455723,3.0,0.0,0.0,0.0,0.0,0.0,0.004455194999991363,0.0006161233506029655,0.9625685675057077,0.0016934955351283272,0.9564277913912542,0.02948184505181559,1.0,0.0
ADWIN,Window-W,Fixed-50ep,5.1430696498196475,0.6627892443136334,5.146249987223028,0.66491758550476,5.159525205882433,0.666319711067396,0.02859375,0.004640388251536717,0.0,0.0,0.0,0.0,0.0,0.0,0.010654371000327956,0.002730860531268773,0.9720200455063038,0.001723011508305139,0.9595026179904244,0.022923830471234755,10.0,0.0
ADWIN,Window-W,EarlyStopping,5.394913088863652,0.17092048371479795,5.397684538843649,0.17145870055353693,5.409165056843635,0.17739737583763435,0.028671875,0.004750873686097113,0.0,0.0,0.0,0.0,0.0,0.0,0.001321035000273696,0.0002909772689649192,0.9681540585383408,0.00829988122095285,0.9609631803717374,0.00825270054610164,1.0,0.0
Fixed-T,Window-W,EarlyStopping,5.403850119263565,0.10443617461039972,5.405499854280697,0.10451405464740268,5.417226372452895,0.10375796164929668,0.025546875,0.0007733980419227846,3.0,0.0,0.0,0.0,0.0,0.0,0.004499151000800339,0.0008880992457975872,0.9678299311018255,0.009803242014163036,0.968731093546515,0.019094242771398342,1.0,0.0
ADWIN,Reweighted-Window,EarlyStopping,5.7037587641452845,0.3758053478932827,5.706681061583158,0.37744521517690455,5.720622556811204,0.3738393878491073,0.026875,0.0002209708691207963,0.0,0.0,0.0,0.0,0.0,0.0,0.0013846940000803443,0.0004307171253380814,0.9693187059969302,0.00539191221814448,0.9569617496239771,0.01566051529780749,1.0,0.0
