trigger,data_policy,training_policy,replica,trajectory_index,start_frame,budget_frames,kl_ref_to_est,coverage,retrain_count,total_train_seconds,train_equivalent_frames,marginal_gain_sum,final_train_vamp2,final_validation_vamp2,final_epochs_run,test_vamp2,monitor_vamp2_mean,monitor_vamp2_std
Fixed-T,Full,Fixed-50ep,0,0,155209,25000,0.15847070501574756,0.3528645833333333,4,0.87975637500017,21590.27963695054,3.469764706177982e-05,0.28581613520443583,0.8385005581304665,50,0.22321705069628497,0.4236273324005274,0.2736752786013517
Fixed-T,Full,Fixed-200ep,0,0,57158,25000,0.9668879971541904,0.2769097222222222,4,6.187810786,151856.31955239075,6.045980694266343e-06,0.2448048931239647,0.28626857967626285,200,0.2717493873397892,0.2568036370767409,0.09639674681145914
Fixed-T,Full,EarlyStopping,0,0,109786,25000,0.94500126137151,0.2847222222222222,4,0.00810118899983081,198.8129223821778,0.0028516503735992165,0.44679619722881303,0.33747396147600534,1,0.4394048560185242,0.2527914185985551,0.10168191279794139
Fixed-T,Window-W,Fixed-50ep,0,0,39602,25000,0.9577339871837272,0.2786458333333333,4,0.5875605669998549,14419.443047706965,3.069596467701677e-05,0.22869583637250743,0.447452364346879,50,0.2912616612390168,0.2560731552765843,0.08707868125631754
Fixed-T,Window-W,Fixed-200ep,0,0,111556,25000,0.9485138185087169,0.2829861111111111,4,2.5010056029999532,61377.68577390379,8.081233363801611e-06,0.32671685951509877,0.04226138063898714,200,0.4401427055832509,0.23242031311088618,0.09940804629956802
Fixed-T,Window-W,EarlyStopping,0,0,108696,25000,0.9479385962783716,0.2838541666666667,4,0.007874086000128955,193.23954160394538,0.0029387330662810638,0.3282842683143091,0.296119548007179,1,0.4380643373068636,0.2709340336424769,0.09573701520577223
Fixed-T,Reweighted-Full,Fixed-50ep,0,0,176527,25000,0.15394474056014346,0.3524305555555556,4,0.9122690450001301,22388.179665856722,3.9864100480321454e-05,0.7588230693530034,0.3407599220369581,50,0.25766294468626144,0.37367506150194607,0.21025171017851832
Fixed-T,Reweighted-Full,Fixed-200ep,0,0,71559,25000,0.2198016419276357,0.3641493055555556,4,3.7669831929998736,92446.29858413289,8.748031993728552e-06,0.26094613363042546,1.0613948321479423,200,0.2575776041379679,0.32868247773211506,0.28188971421264253
Fixed-T,Reweighted-Full,EarlyStopping,0,0,171369,25000,0.16452899659969866,0.3576388888888889,4,0.012730442999895786,312.42038373402687,0.003399442941885578,0.17200345774572695,0.2653685215479982,1,0.2555024888686987,0.4576835329085663,0.2764773161349888
Fixed-T,Reweighted-Window,Fixed-50ep,0,0,17758,25000,0.17258377547430998,0.3146701388888889,4,0.6301229440000498,15463.974974454686,4.0094945893221e-05,0.26156109353248147,0.047588769916332326,50,0.2551507705527106,0.35767843980928776,0.2664499590874112
Fixed-T,Reweighted-Window,Fixed-200ep,0,0,217956,25000,0.21801109281496805,0.3038194444444444,4,2.5162008669999523,61750.59582973283,8.82495802610761e-06,0.26195144814706733,0.2845869365221687,200,0.7606717661006381,0.2832065363276142,0.1440448773636952
Fixed-T,Reweighted-Window,EarlyStopping,0,0,17030,25000,0.16732265324032125,0.3142361111111111,4,0.008678068999984134,212.9702514726,0.0031757225470366852,0.13153465615060395,0.2662443598933768,1,0.25490003348850315,0.35959483586960556,0.2615494203521397
Threshold-delta,Full,Fixed-50ep,0,0,106396,25000,0.9448699151715232,0.2873263888888889,1,0.34506687700002203,8468.356217229177,1.3758410194349752e-05,0.31756878642709996,0.155305551514119,50,0.4352554809824316,0.28644595309248727,0.09445227145400982
Threshold-delta,Full,Fixed-200ep,0,0,16767,25000,0.16832072355530103,0.3142361111111111,1,0.8487019359999977,20828.166350778316,7.158394223295419e-06,0.9103373119156877,0.12785467494374916,200,0.2574735701901368,0.36418694613588026,0.26440838677375733
Threshold-delta,Full,EarlyStopping,0,0,39270,25000,0.9579929329085496,0.2777777777777778,2,0.004450555999937933,109.22199748600792,0.0019404036441648266,0.3118611137954902,0.10451161439033341,1,0.2894212058481987,0.2561704668881678,0.08277918610266356
Threshold-delta,Window-W,Fixed-50ep,0,0,109075,25000,0.949558758655692,0.2829861111111111,3,0.3945723580000049,9683.280267482482,2.556335675924005e-05,0.32985115635975426,0.07487770251220983,50,0.4376765088705388,0.2653628071813746,0.10315360657337111
Threshold-delta,Window-W,Fixed-200ep,0,0,98473,25000,0.9590615164709635,0.2881944444444444,2,1.308391300999915,32109.496294512486,8.05093497409336e-06,0.32811176566033823,0.07834357232737682,200,0.48030279156840017,0.28178752476072594,0.09891219003740417
Threshold-delta,Window-W,EarlyStopping,0,0,79917,25000,0.20839503426732742,0.3693576388888889,3,0.011143488000129764,273.4745992079431,0.000989804433558902,0.36295333378431327,0.027098141438320664,1,0.2822333231485294,0.3430534218770894,0.28570166846291134
Threshold-delta,Reweighted-Full,Fixed-50ep,0,0,97563,25000,0.9415691576243463,0.2860243055555556,2,0.5119071870000198,12562.818104606546,2.378471108694087e-05,0.3459280624997633,0.15552993251977276,50,0.4886389665953613,0.28604658252475756,0.09766318053113925
Threshold-delta,Reweighted-Full,Fixed-200ep,0,0,126699,25000,0.1748897583748102,0.3159722222222222,3,1.7529398089999404,43019.25139564243,5.513150608925942e-06,0.3235058423920823,0.00024220805293195761,200,0.2192930214342655,0.32046828985331943,0.2105284928519582
Threshold-delta,Reweighted-Full,EarlyStopping,0,0,190398,25000,0.9804586875153144,0.2743055555555556,2,0.004943222999941099,121.31263825910129,0.0019938412198629006,0.32839685413338965,0.12089947166068171,1,0.2621296042070774,0.26625975971093846,0.09214855376506931
Threshold-delta,Reweighted-Window,Fixed-50ep,0,0,53997,25000,0.9472571979861597,0.2760416666666667,1,0.21160690700003215,5193.088024215794,2.6723802086336542e-05,0.3198199255444724,0.06913079549783119,50,0.28138771507766663,0.23822755919138516,0.09262693802255909
Threshold-delta,Reweighted-Window,Fixed-200ep,0,0,66177,25000,0.42893878961770215,0.2886284722222222,1,0.8314633960000037,20405.1118442025,7.727732830731539e-06,0.2741693629112283,0.027367586362252564,200,0.24723569793692124,0.23737124557325281,0.09527164227434955
Threshold-delta,Reweighted-Window,EarlyStopping,0,0,18630,25000,0.1676203657819474,0.3151041666666667,2,0.0051974740000559905,127.55226362180899,0.0028693005117388162,0.25179367253478563,0.07023474908982572,1,0.2548883601598777,0.35552214125910586,0.2698740503327569
ADWIN,Full,Fixed-50ep,0,0,86659,25000,0.2119435518787337,0.3741319444444444,0,0.06263706900006127,1537.1890147997253,0.0,0.017656359183869236,0.4334075868410277,50,0.28224720729978264,0.3882878347179236,0.25627910604930393
ADWIN,Full,Fixed-200ep,0,0,168721,25000,0.1605731224359313,0.3580729166666667,0,0.2607182269999839,6398.338889420966,0.0,0.2427684493683731,0.006577985914106769,200,0.24903368961539765,0.46008319236934414,0.272983215612532
ADWIN,Full,EarlyStopping,0,0,208239,25000,0.21710853292659157,0.3064236111111111,0,0.0015024489999859725,36.87190564540959,0.0,0.4774009952397171,0.32742127107420904,1,0.7762025553032359,0.273717709225616,0.19403590301591583
ADWIN,Window-W,Fixed-50ep,0,0,207471,25000,0.21503561591250714,0.3059895833333333,0,0.06301023299999997,1546.3469082098388,0.0,0.3543248211076953,0.5539155622131139,50,0.7725484388156264,0.28016249278334016,0.1908293557207928
ADWIN,Window-W,Fixed-200ep,0,0,12739,25000,0.17013010722467192,0.3159722222222222,0,0.2594288919999599,6366.697057673829,0.0,0.2786738335108222,0.2487186741690519,200,0.26236651814729156,0.3689903237722508,0.26003786485437297
ADWIN,Window-W,EarlyStopping,0,0,89911,25000,0.22121790023862972,0.3732638888888889,0,0.0022513810000646117,55.25159776273624,0.0,0.9691348193535381,0.023810547428686848,1,0.29024948469289047,0.3764007984807179,0.23386256290734908
