trigger,data_policy,training_policy,kl_ref_to_est_mean,kl_ref_to_est_std,coverage_mean,coverage_std,retrain_count_mean,retrain_count_std,train_equivalent_frames_mean,train_equivalent_frames_std,marginal_gain_sum_mean,marginal_gain_sum_std,test_vamp2_mean,test_vamp2_std,final_validation_vamp2_mean,final_validation_vamp2_std,final_epochs_run_mean,final_epochs_run_std
Threshold-delta,Window-W,EarlyStopping,0.656492145247636,0.40403077443603785,0.3044704861111111,0.03552803033761004,1.6,0.8432740427115678,121.6513780287801,60.790462811348284,0.0016721688713073114,0.0009907197743273615,0.29149534735018345,0.09914634505481287,0.06315997433461729,0.052403634483409275,1.0,0.0
Fixed-T,Reweighted-Window,EarlyStopping,0.7075966149391071,0.37621504881345885,0.30013020833333337,0.030050307776016902,4.0,0.0,229.06064693246898,39.22610837112344,0.002963721863566961,0.000974549480952543,0.40756516420401373,0.2005732029035847,0.27569589755338136,0.11810682799280998,1.0,0.0
ADWIN,Reweighted-Window,Fixed-200ep,0.7210210527843549,0.37660222602320415,0.29231770833333337,0.026986811188066513,0.0,0.0,7211.224741242903,1200.552555821777,0.0,0.0,0.3818999069173274,0.23247877683558646,0.15664241640943385,0.17243707695165075,200.0,0.0
Fixed-T,Full,Fixed-50ep,0.7230671184449102,0.3867824207413561,0.30225694444444445,0.037488768072432704,4.0,0.0,23131.58227270572,3708.5552021216895,3.2269740109049715e-05,7.1551313359919655e-06,0.36542319798334866,0.2070685395191019,0.3228032109468768,0.18889040781573,50.0,0.0
Threshold-delta,Full,Fixed-200ep,0.7283401517158382,0.3689695325284934,0.29296875,0.021468659492534205,1.3,0.9486832980505138,22305.09943616938,13661.41190890271,3.99758613393537e-06,2.5623895293042456e-06,0.3088473371633963,0.10589727231300285,0.1329074131030389,0.08803506267433475,200.0,0.0
Threshold-delta,Reweighted-Window,Fixed-50ep,0.730355038149801,0.3561384502344282,0.29171006944444444,0.02428785214230767,1.0,0.6666666666666666,4755.2191322030585,1949.9464419128406,1.546249906066032e-05,1.3738663761311605e-05,0.40226867845707004,0.22990144417742292,0.11197732710526367,0.08650503761066373,50.0,0.0
Fixed-T,Full,Fixed-200ep,0.7352874745207296,0.3705615263677032,0.29887152777777776,0.036315213648961016,4.0,0.0,102918.46383900185,20985.36574002586,7.613445256321347e-06,1.8789128491415858e-06,0.38178786491953276,0.23782314599326135,0.24856066377170408,0.04595743251587047,200.0,0.0
ADWIN,Full,EarlyStopping,0.7427947586260035,0.3705183412639465,0.29561631944444444,0.03165359157733492,0.0,0.0,37.69512066167158,3.6212917005008185,0.0,0.0,0.43583092888406155,0.2581810893570585,0.17441765032006734,0.15967060797094265,1.0,0.0
Fixed-T,Window-W,Fixed-200ep,0.8035317121616308,0.33251828502688346,0.2911024305555555,0.02547040117841381,4.0,0.0,61030.027989982234,5794.194360607541,9.114939545298424e-06,2.8357771464346515e-06,0.43438791788213515,0.18811432927264346,0.1856933655274581,0.10886503544820873,200.0,0.0
Threshold-delta,Reweighted-Full,Fixed-50ep,0.8075084606340364,0.3049674145312921,0.28975694444444444,0.026788262578624066,1.3,1.0593499054713802,7437.408064667141,5505.819390662908,1.2270996785391972e-05,9.218221383425462e-06,0.441604021933813,0.2318440057358188,0.14788921878955202,0.07888720393481433,50.0,0.0
Fixed-T,Reweighted-Full,Fixed-200ep,0.8106237868952109,0.29062967236495113,0.29019097222222223,0.02691765489409189,4.0,0.0,97039.30424807312,9462.138512553951,7.174446467248715e-06,7.707514737221472e-07,0.3332803301709374,0.14818560808668457,0.3256746318812583,0.26239894363089467,200.0,0.0
Fixed-T,Window-W,Fixed-50ep,0.8106864076482141,0.3300397903870033,0.29127604166666665,0.026880498929504962,4.0,0.0,14256.525838365706,266.6338281615751,3.637807533933403e-05,8.664676518248599e-06,0.40242228179945305,0.2276283775389313,0.2774954329118841,0.07266838445778537,50.0,0.0
Threshold-delta,Window-W,Fixed-200ep,0.8861602145249939,0.2390084443312848,0.29097222222222224,0.02772286721614152,1.7,0.9486832980505138,26724.196197689325,9509.053640303255,5.815327364019843e-06,2.7029573358641025e-06,0.41819451845554545,0.20322369306487664,0.126234640545294,0.08733111454717987,200.0,0.0
